year,season,type,club1,club2,result1,result2,date,time,index,dates,scheduleid
2018,spring,常规赛,JDG,SN,2,1,01-29,19:00,https://www.wanplus.com/schedule/39494.html,2018/01/29 19:00:00,39494
2018,spring,常规赛,TES,LGD,1,2,01-30,17:00,https://www.wanplus.com/schedule/39492.html,2018/01/30 17:00:00,39492
2018,spring,常规赛,BLG,LNG,0,2,01-30,19:00,https://www.wanplus.com/schedule/38827.html,2018/01/30 19:00:00,38827
2018,spring,常规赛,SN,IG,0,2,01-31,17:00,https://www.wanplus.com/schedule/38828.html,2018/01/31 17:00:00,38828
2018,spring,常规赛,VG,OMG,0,2,01-31,19:00,https://www.wanplus.com/schedule/38829.html,2018/01/31 19:00:00,38829
2018,spring,常规赛,FPX,BLG,0,2,02-02,17:00,https://www.wanplus.com/schedule/38830.html,2018/02/02 17:00:00,38830
2018,spring,常规赛,VG,EDG,1,2,02-02,19:00,https://www.wanplus.com/schedule/38831.html,2018/02/02 19:00:00,38831
2018,spring,常规赛,RW,JDG,2,0,02-03,17:00,https://www.wanplus.com/schedule/38832.html,2018/02/03 17:00:00,38832
2018,spring,常规赛,SN,RNG,2,0,02-03,19:00,https://www.wanplus.com/schedule/38833.html,2018/02/03 19:00:00,38833
2018,spring,常规赛,LNG,OMG,2,1,02-03,19:00,https://www.wanplus.com/schedule/38834.html,2018/02/03 19:00:00,38834
2018,spring,常规赛,LGD,IG,1,2,02-04,14:00,https://www.wanplus.com/schedule/38835.html,2018/02/04 14:00:00,38835
2018,spring,常规赛,FPX,VG,2,0,02-04,17:00,https://www.wanplus.com/schedule/38836.html,2018/02/04 17:00:00,38836
2018,spring,常规赛,WE,EDG,1,2,02-04,19:00,https://www.wanplus.com/schedule/38837.html,2018/02/04 19:00:00,38837
2018,spring,常规赛,RNG,BLG,2,1,02-05,17:00,https://www.wanplus.com/schedule/38838.html,2018/02/05 17:00:00,38838
2018,spring,常规赛,WE,RW,0,2,02-05,19:00,https://www.wanplus.com/schedule/38839.html,2018/02/05 19:00:00,38839
2018,spring,常规赛,VG,SN,0,2,02-06,17:00,https://www.wanplus.com/schedule/38840.html,2018/02/06 17:00:00,38840
2018,spring,常规赛,LGD,LNG,1,2,02-06,19:00,https://www.wanplus.com/schedule/38841.html,2018/02/06 19:00:00,38841
2018,spring,常规赛,BLG,TES,2,0,02-07,17:00,https://www.wanplus.com/schedule/38842.html,2018/02/07 17:00:00,38842
2018,spring,常规赛,IG,FPX,2,1,02-07,19:00,https://www.wanplus.com/schedule/38843.html,2018/02/07 19:00:00,38843
2018,spring,常规赛,TES,VG,2,1,02-23,17:00,https://www.wanplus.com/schedule/38844.html,2018/02/23 17:00:00,38844
2018,spring,常规赛,OMG,IG,0,2,02-23,19:00,https://www.wanplus.com/schedule/38845.html,2018/02/23 19:00:00,38845
2018,spring,常规赛,JDG,FPX,1,2,02-24,17:00,https://www.wanplus.com/schedule/38846.html,2018/02/24 17:00:00,38846
